Sequence, Symbol, Real, Imag
1, 1, 0.70710678, 0.70710678
1, 2, -0.70710678, 0.70710678
1, 3, 0.70710678, 0.70710678
1, 4, -0.70710678, 0.70710678
1, 5, 0.70710678, 0.70710678
1, 6, 0.70710678, 0.70710678
1, 7, -0.70710678, -0.70710678
1, 8, 0.70710678, -0.70710678
1, 9, 0.70710678, -0.70710678
1, 10, -0.70710678, 0.70710678
1, 11, 0.70710678, 0.70710678
1, 12, 0.70710678, 0.70710678
1, 13, 0.70710678, 0.70710678
1, 14, 0.70710678, -0.70710678
1, 15, 0.70710678, 0.70710678
1, 16, -0.70710678, -0.70710678
1, 17, -0.70710678, 0.70710678
1, 18, 0.70710678, 0.70710678
1, 19, 0.70710678, 0.70710678
1, 20, 0.70710678, 0.70710678
1, 21, 0.70710678, -0.70710678
1, 22, -0.70710678, -0.70710678
1, 23, -0.70710678, 0.70710678
1, 24, -0.70710678, 0.70710678
1, 25, 0.70710678, 0.70710678
1, 26, 0.70710678, 0.70710678
1, 27, 0.70710678, -0.70710678
1, 28, -0.70710678, -0.70710678
1, 29, -0.70710678, 0.70710678
1, 30, -0.70710678, 0.70710678
1, 31, 0.70710678, -0.70710678
1, 32, -0.70710678, 0.70710678
1, 33, -0.70710678, 0.70710678
1, 34, 0.70710678, 0.70710678
1, 35, -0.70710678, 0.70710678
1, 36, -0.70710678, 0.70710678
1, 37, -0.70710678, -0.70710678
1, 38, 0.70710678, 0.70710678
1, 39, -0.70710678, -0.70710678
1, 40, -0.70710678, -0.70710678
1, 41, 0.70710678, 0.70710678
1, 42, -0.70710678, 0.70710678
1, 43, -0.70710678, -0.70710678
1, 44, 0.70710678, 0.70710678
1, 45, -0.70710678, -0.70710678
1, 46, 0.70710678, -0.70710678
1, 47, -0.70710678, -0.70710678
1, 48, 0.70710678, 0.70710678
1, 49, 0.70710678, 0.70710678
1, 50, 0.70710678, 0.70710678
1, 51, -0.70710678, -0.70710678
1, 52, -0.70710678, -0.70710678
1, 53, 0.70710678, 0.70710678
1, 54, -0.70710678, -0.70710678
1, 55, 0.70710678, 0.70710678
1, 56, -0.70710678, -0.70710678
1, 57, -0.70710678, -0.70710678
1, 58, 0.70710678, -0.70710678
1, 59, 0.70710678, 0.70710678
1, 60, 0.70710678, 0.70710678
1, 61, -0.70710678, -0.70710678
1, 62, -0.70710678, 0.70710678
1, 63, 0.70710678, 0.70710678
1, 64, 0.70710678, 0.70710678
1, 65, -0.70710678, -0.70710678
1, 66, -0.70710678, 0.70710678
1, 67, -0.70710678, -0.70710678
1, 68, -0.70710678, 0.70710678
1, 69, 0.70710678, 0.70710678
1, 70, -0.70710678, -0.70710678
1, 71, -0.70710678, -0.70710678
1, 72, 0.70710678, -0.70710678
1, 73, 0.70710678, 0.70710678
1, 74, -0.70710678, 0.70710678
1, 75, 0.70710678, 0.70710678
1, 76, -0.70710678, 0.70710678
1, 77, -0.70710678, 0.70710678
1, 78, -0.70710678, -0.70710678
1, 79, 0.70710678, -0.70710678
1, 80, 0.70710678, 0.70710678
1, 81, -0.70710678, 0.70710678
1, 82, 0.70710678, 0.70710678
1, 83, -0.70710678, -0.70710678
1, 84, 0.70710678, -0.70710678
1, 85, -0.70710678, -0.70710678
1, 86, 0.70710678, -0.70710678
1, 87, 0.70710678, -0.70710678
1, 88, 0.70710678, -0.70710678
1, 89, 0.70710678, 0.70710678
1, 90, 0.70710678, -0.70710678
1, 91, -0.70710678, 0.70710678
1, 92, 0.70710678, -0.70710678
1, 93, -0.70710678, 0.70710678
1, 94, -0.70710678, 0.70710678
1, 95, 0.70710678, 0.70710678
